interval,std,score,wick_ratio,cooldown,trades,win_rate,pnl
5,1.8,4,0.4,15,66,73.07692307692307,44420.11299926845
5,1.8,4,0.35,15,66,73.07692307692307,44420.11299926845
5,1.8,4,0.35,20,66,73.07692307692307,44420.11299926845
5,1.8,4,0.3,15,66,73.07692307692307,44420.11299926845
5,1.8,4,0.3,20,66,73.07692307692307,44420.11299926845
5,1.8,4,0.4,20,66,73.07692307692307,44420.11299926845
5,2.2,4,0.3,15,64,68.0,43206.78282334249
5,2.2,4,0.3,20,64,68.0,43206.78282334249
5,2.2,4,0.35,15,64,68.0,43206.78282334249
5,2.2,4,0.35,20,64,68.0,43206.78282334249
5,2.2,4,0.4,15,64,68.0,43206.78282334249
5,2.2,4,0.4,20,64,68.0,43206.78282334249
5,1.8,4,0.3,30,65,72.36842105263158,42877.43119905367
5,1.8,4,0.35,30,65,72.36842105263158,42877.43119905367
5,1.8,4,0.4,30,65,72.36842105263158,42877.43119905367
5,2.2,4,0.4,30,63,67.12328767123287,41039.263090480476
5,2.2,4,0.3,30,63,67.12328767123287,41039.263090480476
5,2.2,4,0.35,30,63,67.12328767123287,41039.263090480476
5,2.0,4,0.3,15,65,68.0,40838.54999774404
5,2.0,4,0.3,20,65,68.0,40838.54999774404
5,2.0,4,0.35,15,65,68.0,40838.54999774404
5,2.0,4,0.4,15,65,68.0,40838.54999774404
5,2.0,4,0.35,20,65,68.0,40838.54999774404
5,2.0,4,0.4,20,65,68.0,40838.54999774404
5,2.0,4,0.3,30,64,67.12328767123287,38983.449231205646
5,2.0,4,0.35,30,64,67.12328767123287,38983.449231205646
5,2.0,4,0.4,30,64,67.12328767123287,38983.449231205646
5,2.2,5,0.35,30,40,66.66666666666666,27754.385624570154
5,2.2,5,0.3,20,40,66.66666666666666,27754.385624570154
5,2.2,5,0.3,30,40,66.66666666666666,27754.385624570154
5,2.2,5,0.4,15,40,66.66666666666666,27754.385624570154
5,2.2,5,0.35,15,40,66.66666666666666,27754.385624570154
5,2.2,5,0.35,20,40,66.66666666666666,27754.385624570154
5,2.2,5,0.3,15,40,66.66666666666666,27754.385624570154
5,2.2,5,0.4,20,40,66.66666666666666,27754.385624570154
5,2.2,5,0.4,30,40,66.66666666666666,27754.385624570154
1,1.8,4,0.4,30,80,76.92307692307693,27482.091570831777
1,1.8,4,0.35,30,80,76.92307692307693,27482.091570831777
1,1.8,4,0.35,15,77,77.22772277227723,26092.58854441719
1,1.8,4,0.4,15,77,77.22772277227723,26092.58854441719
1,1.8,4,0.35,20,79,76.69902912621359,25832.260736806962
1,1.8,4,0.4,20,79,76.69902912621359,25832.260736806962
3,1.8,4,0.3,15,67,72.28915662650603,23590.69525015051
3,1.8,4,0.3,20,68,71.76470588235294,23431.445250150522
5,1.8,5,0.3,30,41,75.55555555555556,23333.33335116782
5,1.8,5,0.3,15,41,75.55555555555556,23333.33335116782
5,1.8,5,0.4,30,41,75.55555555555556,23333.33335116782
5,1.8,5,0.4,20,41,75.55555555555556,23333.33335116782
5,1.8,5,0.4,15,41,75.55555555555556,23333.33335116782
5,1.8,5,0.35,30,41,75.55555555555556,23333.33335116782
5,1.8,5,0.35,20,41,75.55555555555556,23333.33335116782
5,1.8,5,0.35,15,41,75.55555555555556,23333.33335116782
5,1.8,5,0.3,20,41,75.55555555555556,23333.33335116782
3,2.0,4,0.3,15,64,74.68354430379746,23174.562258361377
3,2.0,4,0.3,20,65,74.07407407407408,23015.312258361388
3,2.0,4,0.4,15,63,74.02597402597402,22894.417366331174
3,2.0,4,0.35,15,63,74.02597402597402,22894.417366331174
3,1.8,4,0.3,30,70,70.45454545454545,22747.26672204344
3,2.0,4,0.35,20,64,73.41772151898735,22735.167366331185
3,2.0,4,0.4,20,64,73.41772151898735,22735.167366331185
3,1.8,4,0.4,15,66,71.60493827160494,22465.343123432085
3,1.8,4,0.35,15,66,71.60493827160494,22465.343123432085
3,1.8,4,0.4,20,67,71.08433734939759,22306.093123432096
3,1.8,4,0.35,20,67,71.08433734939759,22306.093123432096
3,2.0,4,0.3,30,67,72.61904761904762,22193.2676384772
3,2.0,4,0.35,30,66,71.95121951219512,21913.122746447
3,2.0,4,0.4,30,66,71.95121951219512,21913.122746447
3,1.8,4,0.35,30,69,69.76744186046511,21621.91459532501
3,1.8,4,0.4,30,69,69.76744186046511,21621.91459532501
5,2.0,5,0.3,20,41,66.66666666666666,21419.267770011593
5,2.0,5,0.3,15,41,66.66666666666666,21419.267770011593
5,2.0,5,0.4,30,41,66.66666666666666,21419.267770011593
5,2.0,5,0.4,20,41,66.66666666666666,21419.267770011593
5,2.0,5,0.4,15,41,66.66666666666666,21419.267770011593
5,2.0,5,0.35,30,41,66.66666666666666,21419.267770011593
5,2.0,5,0.35,20,41,66.66666666666666,21419.267770011593
5,2.0,5,0.35,15,41,66.66666666666666,21419.267770011593
5,2.0,5,0.3,30,41,66.66666666666666,21419.267770011593
1,1.8,4,0.3,30,81,75.96153846153845,19992.316404915713
1,1.8,4,0.3,15,77,76.0,18602.813378501134
1,1.8,4,0.3,20,79,75.49019607843137,18342.48557089091
3,2.2,4,0.3,15,61,75.0,17541.888565030564
3,2.2,4,0.3,20,62,74.35897435897436,17382.63856503058
3,2.2,4,0.4,15,60,74.32432432432432,17379.118458830806
3,2.2,4,0.35,15,60,74.32432432432432,17379.118458830806
3,2.2,4,0.35,20,61,73.68421052631578,17219.868458830813
3,2.2,4,0.4,20,61,73.68421052631578,17219.868458830813
1,1.8,5,0.3,30,52,85.29411764705883,16534.856615337492
1,1.8,5,0.3,20,52,85.29411764705883,16534.856615337492
1,1.8,5,0.3,15,52,85.29411764705883,16534.856615337492
3,2.2,4,0.3,30,64,72.8395061728395,16402.873750336777
3,2.2,4,0.35,30,63,72.15189873417721,16240.103644137012
3,2.2,4,0.4,30,63,72.15189873417721,16240.103644137012
1,1.8,5,0.35,15,51,85.07462686567165,15737.794115337681
1,1.8,5,0.35,20,51,85.07462686567165,15737.794115337681
1,1.8,5,0.35,30,51,85.07462686567165,15737.794115337681
1,1.8,5,0.4,15,51,85.07462686567165,15737.794115337681
1,1.8,5,0.4,20,51,85.07462686567165,15737.794115337681
1,1.8,5,0.4,30,51,85.07462686567165,15737.794115337681
1,2.2,4,0.3,30,76,76.28865979381443,15590.012893504867
1,2.2,4,0.4,30,76,76.28865979381443,15590.012893504867
1,2.2,4,0.35,30,76,76.28865979381443,15590.012893504867
1,2.2,5,0.4,30,51,81.81818181818183,14318.586005702977
1,2.2,5,0.4,20,51,81.81818181818183,14318.586005702977
1,2.2,5,0.4,15,51,81.81818181818183,14318.586005702977
1,2.2,5,0.35,30,51,81.81818181818183,14318.586005702977
1,2.2,5,0.35,20,51,81.81818181818183,14318.586005702977
1,2.2,5,0.35,15,51,81.81818181818183,14318.586005702977
1,2.2,5,0.3,30,51,81.81818181818183,14318.586005702977
1,2.2,5,0.3,20,51,81.81818181818183,14318.586005702977
1,2.2,5,0.3,15,51,81.81818181818183,14318.586005702977
1,2.0,4,0.3,30,79,72.0,13330.026871027125
1,2.0,4,0.35,30,79,72.0,13330.026871027125
1,2.0,4,0.4,30,78,71.71717171717171,12965.794728169962
1,2.0,5,0.3,30,52,79.41176470588235,12710.453361833997
1,2.0,5,0.3,20,52,79.41176470588235,12710.453361833997
1,2.0,5,0.3,15,52,79.41176470588235,12710.453361833997
1,2.2,4,0.4,15,74,75.0,12137.321368244517
1,2.2,4,0.35,15,74,75.0,12137.321368244517
1,2.2,4,0.3,15,74,75.0,12137.321368244517
1,2.0,4,0.3,15,76,72.16494845360825,12080.540864704513
1,2.0,4,0.35,15,76,72.16494845360825,12080.540864704513
1,2.0,5,0.4,20,51,79.1044776119403,11913.390861834187
1,2.0,5,0.4,30,51,79.1044776119403,11913.390861834187
1,2.0,5,0.35,15,51,79.1044776119403,11913.390861834187
1,2.0,5,0.35,20,51,79.1044776119403,11913.390861834187
1,2.0,5,0.35,30,51,79.1044776119403,11913.390861834187
1,2.0,5,0.4,15,51,79.1044776119403,11913.390861834187
1,2.0,4,0.4,15,75,71.875,11716.30872184735
1,2.0,4,0.35,20,78,71.71717171717171,11660.010582540732
1,2.0,4,0.3,20,78,71.71717171717171,11660.010582540732
1,2.2,4,0.3,20,76,74.48979591836735,11556.588611526946
1,2.2,4,0.35,20,76,74.48979591836735,11556.588611526946
1,2.2,4,0.4,20,76,74.48979591836735,11556.588611526946
1,2.0,4,0.4,20,77,71.42857142857143,11295.778439683569
3,2.0,5,0.3,20,38,71.11111111111111,10563.544135114365
3,2.0,5,0.3,15,38,71.11111111111111,10563.544135114365
3,2.0,5,0.3,30,38,71.11111111111111,10563.544135114365
3,2.0,5,0.35,20,37,69.76744186046511,10515.309957369815
3,2.0,5,0.4,15,37,69.76744186046511,10515.309957369815
3,2.0,5,0.4,30,37,69.76744186046511,10515.309957369815
3,2.0,5,0.35,15,37,69.76744186046511,10515.309957369815
3,2.0,5,0.35,30,37,69.76744186046511,10515.309957369815
3,2.0,5,0.4,20,37,69.76744186046511,10515.309957369815
3,2.2,5,0.35,15,37,72.72727272727273,9883.682569113196
3,2.2,5,0.35,20,37,72.72727272727273,9883.682569113196
3,2.2,5,0.35,30,37,72.72727272727273,9883.682569113196
3,2.2,5,0.4,15,37,72.72727272727273,9883.682569113196
3,2.2,5,0.4,20,37,72.72727272727273,9883.682569113196
3,2.2,5,0.4,30,37,72.72727272727273,9883.682569113196
3,2.2,5,0.3,15,38,73.91304347826086,9814.54196102731
3,2.2,5,0.3,20,38,73.91304347826086,9814.54196102731
3,2.2,5,0.3,30,38,73.91304347826086,9814.54196102731
3,1.8,5,0.3,30,38,63.63636363636363,5723.133308677461
3,1.8,5,0.3,15,38,63.63636363636363,5723.133308677461
3,1.8,5,0.3,20,38,63.63636363636363,5723.133308677461
3,1.8,5,0.4,15,37,61.904761904761905,4829.691896244687
3,1.8,5,0.35,15,37,61.904761904761905,4829.691896244687
3,1.8,5,0.35,20,37,61.904761904761905,4829.691896244687
3,1.8,5,0.35,30,37,61.904761904761905,4829.691896244687
3,1.8,5,0.4,20,37,61.904761904761905,4829.691896244687
3,1.8,5,0.4,30,37,61.904761904761905,4829.691896244687
1,2.2,6,0.3,15,7,100.0,2645.080907877209
1,2.2,6,0.4,30,7,100.0,2645.080907877209
1,2.2,6,0.4,20,7,100.0,2645.080907877209
1,2.2,6,0.4,15,7,100.0,2645.080907877209
1,2.2,6,0.35,30,7,100.0,2645.080907877209
1,2.2,6,0.35,15,7,100.0,2645.080907877209
1,2.2,6,0.3,30,7,100.0,2645.080907877209
1,2.2,6,0.3,20,7,100.0,2645.080907877209
1,2.2,6,0.35,20,7,100.0,2645.080907877209
5,1.8,6,0.35,20,6,83.33333333333334,2300.3697990920773
5,1.8,6,0.4,15,6,83.33333333333334,2300.3697990920773
5,1.8,6,0.4,30,6,83.33333333333334,2300.3697990920773
5,1.8,6,0.3,15,6,83.33333333333334,2300.3697990920773
5,1.8,6,0.3,20,6,83.33333333333334,2300.3697990920773
5,1.8,6,0.3,30,6,83.33333333333334,2300.3697990920773
5,1.8,6,0.35,15,6,83.33333333333334,2300.3697990920773
5,1.8,6,0.4,20,6,83.33333333333334,2300.3697990920773
5,1.8,6,0.35,30,6,83.33333333333334,2300.3697990920773
5,2.0,6,0.4,30,5,80.0,1546.955818168717
5,2.0,6,0.4,20,5,80.0,1546.955818168717
5,2.0,6,0.4,15,5,80.0,1546.955818168717
5,2.0,6,0.35,30,5,80.0,1546.955818168717
5,2.0,6,0.35,20,5,80.0,1546.955818168717
5,2.0,6,0.35,15,5,80.0,1546.955818168717
5,2.0,6,0.3,15,5,80.0,1546.955818168717
5,2.0,6,0.3,30,5,80.0,1546.955818168717
5,2.0,6,0.3,20,5,80.0,1546.955818168717
5,2.2,6,0.4,15,5,80.0,585.2322735475541
5,2.2,6,0.3,30,5,80.0,585.2322735475541
5,2.2,6,0.3,15,5,80.0,585.2322735475541
5,2.2,6,0.35,15,5,80.0,585.2322735475541
5,2.2,6,0.35,20,5,80.0,585.2322735475541
5,2.2,6,0.35,30,5,80.0,585.2322735475541
5,2.2,6,0.4,20,5,80.0,585.2322735475541
5,2.2,6,0.3,20,5,80.0,585.2322735475541
5,2.2,6,0.4,30,5,80.0,585.2322735475541
1,2.0,6,0.35,20,8,77.77777777777779,-211.1343543759267
1,2.0,6,0.3,15,8,77.77777777777779,-211.1343543759267
1,2.0,6,0.3,30,8,77.77777777777779,-211.1343543759267
1,2.0,6,0.35,15,8,77.77777777777779,-211.1343543759267
1,2.0,6,0.35,30,8,77.77777777777779,-211.1343543759267
1,2.0,6,0.4,15,8,77.77777777777779,-211.1343543759267
1,2.0,6,0.4,20,8,77.77777777777779,-211.1343543759267
1,2.0,6,0.4,30,8,77.77777777777779,-211.1343543759267
1,2.0,6,0.3,20,8,77.77777777777779,-211.1343543759267
1,1.8,6,0.4,20,8,77.77777777777779,-303.9790809146416
1,1.8,6,0.35,30,8,77.77777777777779,-303.9790809146416
1,1.8,6,0.4,30,8,77.77777777777779,-303.9790809146416
1,1.8,6,0.3,15,8,77.77777777777779,-303.9790809146416
1,1.8,6,0.4,15,8,77.77777777777779,-303.9790809146416
1,1.8,6,0.35,15,8,77.77777777777779,-303.9790809146416
1,1.8,6,0.35,20,8,77.77777777777779,-303.9790809146416
1,1.8,6,0.3,30,8,77.77777777777779,-303.9790809146416
1,1.8,6,0.3,20,8,77.77777777777779,-303.9790809146416
3,2.2,6,0.35,15,2,50.0,-1170.0
3,2.2,6,0.3,30,2,50.0,-1170.0
3,2.2,6,0.3,20,2,50.0,-1170.0
3,2.2,6,0.3,15,2,50.0,-1170.0
3,2.0,6,0.35,20,4,75.0,-1170.0
3,2.0,6,0.35,30,4,75.0,-1170.0
3,2.0,6,0.4,15,4,75.0,-1170.0
3,2.2,6,0.35,20,2,50.0,-1170.0
3,2.0,6,0.4,20,4,75.0,-1170.0
3,1.8,6,0.3,15,4,75.0,-1170.0
3,2.2,6,0.35,30,2,50.0,-1170.0
3,1.8,6,0.3,20,4,75.0,-1170.0
3,1.8,6,0.3,30,4,75.0,-1170.0
3,1.8,6,0.35,15,4,75.0,-1170.0
3,1.8,6,0.35,20,4,75.0,-1170.0
3,1.8,6,0.35,30,4,75.0,-1170.0
3,1.8,6,0.4,15,4,75.0,-1170.0
3,1.8,6,0.4,20,4,75.0,-1170.0
3,1.8,6,0.4,30,4,75.0,-1170.0
3,2.0,6,0.3,15,4,75.0,-1170.0
3,2.0,6,0.3,20,4,75.0,-1170.0
3,2.0,6,0.3,30,4,75.0,-1170.0
3,2.0,6,0.35,15,4,75.0,-1170.0
3,2.2,6,0.4,30,2,50.0,-1170.0
3,2.2,6,0.4,20,2,50.0,-1170.0
3,2.2,6,0.4,15,2,50.0,-1170.0
3,2.0,6,0.4,30,4,75.0,-1170.0
